id,plant_id,asset_tag,asset_name,update_time_stamp
1,1,2K1701,ETHYLENE REFRIG COMPRESSOR,21-03-2023 08:32
2,2,A4101J,PROCESS AIR COMPRESSOR,21-03-2023 08:32
3,3,DZ21241809,Sciex,21-03-2023 08:32
