thresholdconfig_id,sensorgroup_id,algorithm,k_best,alertlevel,warninglevel,upper_limit,lower_limit,update_time_stamp
1,1,KMeans,6,,,"(2.26,2.93,2.67,997,341,2.28)","(2.06,2.35,2,25,990,17,2)",24-03-2023 13:39
2,2,KMeans,3,,,"(9,4,195)","(2.09,2.23,195)",24-03-2023 13:39
